hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
SP Studios by Agarwal's,"₹ 2,800",NA,NA,NA,Noida,One-Bedroom Apartment,1 double bed,+₹ 336 taxes and charges,0,1 night, 2 adults,"₹ 2,800",False,True,2024-04-09,2024-04-10,Free WiFi
"Hotel Golden Sand, Rohtak","₹ 1,215",3.5,Review score,4,Rohtak,Deluxe Room,"2 beds (1 single, 1 futon)",+₹ 146 taxes and charges,5,1 night, 2 adults,"₹ 1,215",False,True,2024-04-09,2024-04-10,"Free parking, Restaurant, Non-smoking rooms, Room service, Breakfast"
Hotel Ashoka Continental,"₹ 1,800",4.7,Review score,9,"Paharganj, New Delhi",Standard Double Room with Fan,1 large double bed,+₹ 216 taxes and charges,3,1 night, 2 adults,"₹ 1,800",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, 24-hour front desk"
Treebo Trend Sai Village Gold Souk,"₹ 6,923",8.1,Very good,21,"Sushant Lok, Gurgaon",Deluxe Double Room,Multiple bed types,+₹ 831 taxes and charges,3,1 night, 2 adults,"₹ 8,653",True,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, Breakfast"
3BHK Apartment with Bathtub by Inaya Stays near Huda City Metro,"₹ 4,999",NA,NA,NA,"City Center - Sector 29, Gurgaon",Three-Bedroom Apartment,"4 beds (1 double, 1 extra-large double, 1 sofa bed, 1 large double)",+₹ 600 taxes and charges,0,1 night, 2 adults,"₹ 4,999",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Free WiFi, Family rooms, Free parking, Breakfast"
SP LODGE,"₹ 1,350",8.0,Very good,1,New Delhi,Deluxe Double Room (2 Adults + 1 Child),1 large double bed,+₹ 162 taxes and charges,0,1 night, 2 adults,"₹ 1,350",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking, Air conditioning"
SLS By Ashiyana Group,"₹ 3,240",6.2,Review score,13,"South Delhi, New Delhi",Deluxe Double Room,1 double bed,+₹ 389 taxes and charges,0,1 night, 2 adults,"₹ 3,240",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning"
Peaceful lovely 3 bedroom house sector 41noida,"₹ 5,343",NA,NA,NA,Noida,Three-Bedroom Apartment,"4 beds (3 doubles, 1 sofa bed)",+₹ 641 taxes and charges,0,1 night, 2 adults,"₹ 5,343",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking"
Luxurious Serviced Apt Pari Chowk/ExpoMart/Noida Expressway,"₹ 1,286",5.3,Review score,7,Greater Noida,Deluxe Room,"2 beds (1 double, 1 futon)",+₹ 722 taxes and charges,0,1 night, 2 adults,"₹ 1,286",False,True,2024-04-09,2024-04-10,"Free WiFi, Family rooms"
AIRPORT SHRI PALACE INN,"₹ 1,700",7.0,Good,3,"Mahipalpur, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 204 taxes and charges,0,1 night, 2 adults,"₹ 1,700",True,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Facilities for disabled guests, Free parking, 24-hour front desk, Breakfast"
*Star Studios* Fully furnished Studio Apartment,"₹ 2,100",9.0,Superb,1,Noida,One-Bedroom Apartment,1 double bed,+₹ 252 taxes and charges,0,1 night, 2 adults,"₹ 2,100",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking"
BluO Cozy Studio with Balcony - Green Park HKV,"₹ 15,000",8.5,Very good,2,"South Delhi, New Delhi",Studio Apartment,1 double bed,"+₹ 2,700 taxes and charges",0,1 night, 2 adults,"₹ 15,000",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Family rooms, Air conditioning"
* STAR STUDIOS * Fully furnished Independent Studio Apartment,"₹ 2,700",NA,NA,NA,Noida,One-Bedroom Apartment,1 large double bed,+₹ 324 taxes and charges,0,1 night, 2 adults,"₹ 2,700",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Free WiFi, Free parking"
"Shaw Estate- Near Expo Mart, Mehra Farm","₹ 6,299",NA,NA,NA,Greater Noida,Superior Double Room,1 double bed,+₹ 756 taxes and charges,0,1 night, 2 adults,"₹ 6,299",False,True,2024-04-09,2024-04-10,"Swimming Pool, Free parking, Tea/coffee maker in all rooms"
The Paradise,"₹ 1,260",NA,NA,NA,Gurgaon,Double Room with Balcony,2 double beds,+₹ 151 taxes and charges,0,1 night, 2 adults,"₹ 1,260",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking"
Sun N Shade Holiday Home,"₹ 3,750",NA,NA,NA,"South Delhi, New Delhi",One-Bedroom House,1 double bed,+₹ 450 taxes and charges,0,1 night, 2 adults,"₹ 3,750",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking, Garden, Air conditioning"
Airport Hotel Square Plaza,"₹ 1,798",9.5,Exceptional,13,"South West, New Delhi",Superior Double or Twin Room,1 large double bed,+₹ 647 taxes and charges,3,1 night, 2 adults,"₹ 1,798",True,True,2024-04-09,2024-04-10,"Airport shuttle (free), Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Terrace, Tea/coffee maker in all rooms, Breakfast"
Hotel AOI MIZU,"₹ 3,500",5.7,Review score,3,"Old Gurgaon, Gurgaon",Deluxe Double Room,1 large double bed,+₹ 420 taxes and charges,3,1 night, 2 adults,"₹ 3,500",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, 24-hour front desk, Breakfast"
Hotel Sky High,"₹ 1,349",6.3,Review score,3,"South West, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,349",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Terrace, Garden, Laundry, Breakfast"
Assin Suite 2bhk,"₹ 1,800",NA,NA,NA,New Delhi,Double Room,1 double bed,+₹ 216 taxes and charges,0,1 night, 2 adults,"₹ 1,800",False,True,2024-04-09,2024-04-10,Free WiFi
Hotel Shri Ram - Near IGI Airport,"₹ 1,200",7.8,Good,11,"Mahipalpur, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 144 taxes and charges,3,1 night, 2 adults,"₹ 1,200",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, 24-hour front desk, Terrace, Air conditioning"
FACULTY House,"₹ 2,925",4.9,Review score,18,Greater Noida,Double or Twin Room,1 double bed,+₹ 351 taxes and charges,0,1 night, 2 adults,"₹ 2,925",False,False,2024-04-09,2024-04-10,"Non-smoking rooms, Free WiFi, Family rooms, Private parking, Tea/coffee maker in all rooms, Good breakfast"
Stargaze Inn,"₹ 1,400",1.0,Review score,1,Ghaziabad,Executive Deluxe Room,1 double bed,+₹ 168 taxes and charges,0,1 night, 2 adults,"₹ 1,400",False,True,2024-04-09,2024-04-10,Room service
Ankur Hotel,₹ 600,3.5,Review score,13,Alwar,Deluxe Room,1 single bed,+₹ 72 taxes and charges,3,1 night, 2 adults,₹ 600,False,True,2024-04-09,2024-04-10,"Airport shuttle, Free parking, Non-smoking rooms, Room service, Breakfast"
Hotel Meghna Residency,"₹ 1,215",6.3,Review score,35,Gurgaon,Deluxe Double Room,1 double bed,+₹ 146 taxes and charges,3,1 night, 2 adults,"₹ 1,215",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Free parking, 24-hour front desk, Breakfast"
"Shaw Estate-Luxurious Farm Stay, Near Expo Mart-Arora Farm","₹ 5,850",NA,NA,NA,Greater Noida,Double Room,1 double bed,+₹ 702 taxes and charges,0,1 night, 2 adults,"₹ 5,850",False,True,2024-04-09,2024-04-10,"Swimming Pool, Free parking"
HOTEL QUBIC STAY BY IGI AIRPORT,"₹ 1,100",8.6,Fabulous,8,"Mahipalpur, New Delhi",Deluxe Double Room,2 double beds,+₹ 132 taxes and charges,3,1 night, 2 adults,"₹ 1,100",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, 24-hour front desk, Terrace, Air conditioning, Breakfast"
The Passion Square near India Expo Mart,"₹ 3,000",10,Exceptional,1,Noida,One-Bedroom Apartment,1 extra-large double bed,+₹ 959 taxes and charges,0,1 night, 2 adults,"₹ 3,000",False,True,2024-04-09,2024-04-10,Free parking
Pardeep's cottage,"₹ 1,399",NA,NA,NA,Pānīpat,Double Room,1 double bed,+₹ 168 taxes and charges,0,1 night, 2 adults,"₹ 1,399",False,True,2024-04-09,2024-04-10,"Free parking, Breakfast"
The hotel Grace Place Inn,"₹ 1,710",6.7,Review score,9,"Mahipalpur, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 205 taxes and charges,0,1 night, 2 adults,"₹ 1,710",True,True,2024-04-09,2024-04-10,"Airport shuttle, Room service, Free WiFi, Free parking, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Breakfast"
Hotel Starex Opp Artemis Hospital,"₹ 3,509",7.8,Good,9,Gurgaon,Deluxe Double Room with Balcony,1 large double bed,+₹ 421 taxes and charges,3,1 night, 2 adults,"₹ 3,509",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Breakfast"
Royal Court Residency,"₹ 1,200",NA,NA,NA,"Sector 40 - 44, Gurgaon",Deluxe Double Room (2 Adults + 1 Child),15 extra-large double beds,+₹ 144 taxes and charges,0,1 night, 2 adults,"₹ 1,200",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking"
Hotel Classic,"₹ 1,800",2.0,Review score,2,"Karol bagh, New Delhi",Deluxe Room,Multiple bed types,+₹ 216 taxes and charges,2,1 night, 2 adults,"₹ 3,000",False,True,2024-04-09,2024-04-10,"Room service, Restaurant, Free parking, 24-hour front desk, Daily housekeeping, Air conditioning, Breakfast"
Entire Condominium Luxury Suites Perfect Getaway,"₹ 1,349",7.5,Good,2,Noida,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",+₹ 739 taxes and charges,0,1 night, 2 adults,"₹ 1,349",False,False,2024-04-09,2024-04-10,"Outdoor swimming pool, Family rooms"
The YBIN hotel,"₹ 1,200",6.0,Review score,1,Greater Noida,Deluxe Double Room,"11 beds (2 doubles, 2 extra-large doubles, 7 large doubles)",+₹ 144 taxes and charges,0,1 night, 2 adults,"₹ 1,200",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking"
Twin Towers,"₹ 20,000",7.3,Good,44,Greater Noida,Double or Twin Room with Shared Bathroom,2 single beds,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",True,False,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Breakfast"
Mapple 247 B & B,"₹ 1,598",10,Exceptional,5,"Mahipalpur, New Delhi",Double or Twin Room,1 extra-large double bed,+₹ 575 taxes and charges,0,1 night, 2 adults,"₹ 1,598",True,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Terrace, Tea/coffee maker in all rooms, Breakfast"
Hotel Amar Inn- Lajpat Nagar Central Market,"₹ 4,500",7.2,Good,10,"South Delhi, New Delhi",Standard Double or Twin Room,Beds: 1 double or 2 singles,+₹ 990 taxes and charges,4,1 night, 2 adults,"₹ 4,500",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Breakfast"
Uppal's PG,₹ 890,8.7,Fabulous,6,"West Delhi, New Delhi",Budget Double or Twin Room,2 single beds,+₹ 107 taxes and charges,0,1 night, 2 adults,₹ 890,False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
Highway Guest House,₹ 700,NA,NA,NA,Alwar,Budget Double Room,1 large double bed,+₹ 84 taxes and charges,0,1 night, 2 adults,₹ 700,False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking, Non-smoking rooms, Breakfast"
