hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
"Amritara Chandra Mahal Haveli, Bharatpur","₹ 3,514",7.7,Good,49,Bharatpur,Heritage Room,"2 beds (1 extra-large double, 1 futon)",+₹ 422 taxes and charges,4,1 night, 2 adults,"₹ 3,514",True,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Free WiFi, Free parking, Restaurant, Room service, Non-smoking rooms, Tea/coffee maker in all rooms, Good breakfast"
The Vertigo,"₹ 1,530",8.0,Very good,122,Noida,Deluxe Room,1 large double bed,+₹ 184 taxes and charges,3,1 night, 2 adults,"₹ 3,825",False,True,2023-06-06,2023-06-07,"Airport shuttle, Non-smoking rooms, Room service, Very good breakfast"
Flora Residency,"₹ 2,866",7.5,Good,386,"Sector 40 - 44, Gurgaon",Double or Twin Room,1 extra-large double bed,+₹ 344 taxes and charges,3,1 night, 2 adults,"₹ 2,866",True,True,2023-06-06,2023-06-07,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Good breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 6,300",7.5,Good,"1,635",Ghaziabad,Superior Room,Multiple bed types,+₹ 756 taxes and charges,5,1 night, 2 adults,"₹ 6,300",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Noormahal Palace Hotel,"₹ 18,504",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 3,331 taxes and charges",5,1 night, 2 adults,"₹ 23,130",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 7,999",7.6,Good,745,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 1,440 taxes and charges",5,1 night, 2 adults,"₹ 7,999",False,True,2023-06-06,2023-06-07,NA
"Crowne Plaza Greater Noida, an IHG Hotel","₹ 17,998",8.0,Very good,731,Greater Noida,Club King Room,1 extra-large double bed,"+₹ 3,240 taxes and charges",5,1 night, 2 adults,"₹ 17,998",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Days Hotel Neemrana,"₹ 2,975",6.9,Review score,147,Neemrana,Premium King Room,1 double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,975",True,True,2023-06-06,2023-06-07,"Indoor swimming pool, Airport shuttle, Spa and wellness centre, Room service, Free parking, Restaurant, Free WiFi, Non-smoking rooms, Bar, Breakfast"
Hotel Leela Grande,"₹ 3,780",7.7,Good,47,Karnāl,Club Luxuria,1 double bed,+₹ 454 taxes and charges,3,1 night, 2 adults,"₹ 5,400",False,False,2023-06-06,2023-06-07,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, Family rooms, Tea/coffee maker in all rooms, Good breakfast"
Shivir Aranya,"₹ 8,000",8.8,Fabulous,108,Alwar,Cottage,2 extra-large double beds,"+₹ 1,440 taxes and charges",0,1 night, 2 adults,"₹ 8,000",True,True,2023-06-06,2023-06-07,"Free WiFi, Free parking, Family rooms, Restaurant, Non-smoking rooms"
