hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
"Country Inn & Suites by Radisson, Bhiwadi","₹ 3,599",7.5,Good,75,Bhiwadi,Superior Room,1 large double bed,+₹ 432 taxes and charges,4,1 night, 2 adults,"₹ 3,599",True,False,2023-08-01,2023-08-02,"Indoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
J House near Bhikaji,"₹ 2,520",8.6,Fabulous,210,"South Delhi, New Delhi",Budget Double Room,1 double bed,+₹ 302 taxes and charges,0,1 night, 2 adults,"₹ 2,520",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Fitness centre, Free WiFi, Terrace, Laundry, Air conditioning, Good breakfast"
"Beautiful Apartments at Tarudhan Valley Golf Resort, Manesar","₹ 5,400",8.0,Very good,161,Gurgaon,Apartment with Garden View,"3 beds (1 extra-large double, 2 sofa beds)",+₹ 648 taxes and charges,4,1 night, 2 adults,"₹ 5,400",False,True,2023-08-01,2023-08-02,"2 swimming pools, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Bar, Good breakfast"
Taurus Sarovar Portico,"₹ 5,399",5.6,Review score,140,"Mahipalpur, New Delhi",Standard King Room,1 extra-large double bed,+₹ 648 taxes and charges,4,1 night, 2 adults,"₹ 5,399",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Hotel Uppal International - New Delhi Railway Station - Paharganj,"₹ 1,705",7.0,Good,252,"Paharganj, New Delhi",Deluxe Double Room,1 large double bed,+₹ 205 taxes and charges,3,1 night, 2 adults,"₹ 3,100",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Terrace, Good breakfast"
Lime Tree Greater Kailash New Delhi - luxury Bed & Breakfast- Next to GK 2 Metro Station,"₹ 4,800",7.3,Good,147,"South Delhi, New Delhi",Deluxe King Room,1 extra-large double bed,+₹ 576 taxes and charges,0,1 night, 2 adults,"₹ 8,000",True,True,2023-08-01,2023-08-02,"Airport shuttle (free), Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Breakfast"
Mother Palace,"₹ 1,105",7.5,Good,178,"Paharganj, New Delhi",Standard Double Room with Fan,1 large double bed,+₹ 133 taxes and charges,0,1 night, 2 adults,"₹ 1,105",False,False,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, 24-hour front desk, Terrace, Air conditioning"
FabHotel The Golf Inn,"₹ 1,536",7.1,Good,51,Noida,Deluxe Room,1 large double bed,+₹ 184 taxes and charges,3,1 night, 2 adults,"₹ 3,339",False,True,2023-08-01,2023-08-02,"Room service, Fitness centre, Facilities for disabled guests"
FabHotel F9 Ashok Vihar,"₹ 1,372",8.0,Very good,126,"North Delhi, New Delhi",Deluxe Room,1 double bed,+₹ 165 taxes and charges,3,1 night, 2 adults,"₹ 2,983",False,True,2023-08-01,2023-08-02,"Room service, 24-hour front desk, Air conditioning"
AmigosIndia,"₹ 3,985",8.8,Fabulous,373,"Chattarpur, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 478 taxes and charges,3,1 night, 2 adults,"₹ 5,948",True,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Good breakfast"
"Cosy Grand, Near Chanakyapuri, Embassy Area","₹ 11,570",7.9,Good,246,"South Delhi, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 2,083 taxes and charges",3,1 night, 2 adults,"₹ 16,070",True,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Laundry, Air conditioning, Breakfast"
OYO Home The Shagun Residency,"₹ 1,148",3.8,Review score,13,"West Delhi, New Delhi",Apartment,1 extra-large double bed,+₹ 170 taxes and charges,3,1 night, 2 adults,"₹ 1,767",False,True,2023-08-01,2023-08-02,"Room service, 24-hour front desk, Daily housekeeping"
Hotel Urban Tree,"₹ 1,150",8.5,Very good,519,"Mahipalpur, New Delhi",Small Double Room,1 extra-large double bed,+₹ 138 taxes and charges,3,1 night, 2 adults,"₹ 2,299",False,True,2023-08-01,2023-08-02,"Room service, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
UDS Villa B&B,"₹ 4,680",7.3,Good,565,"Connaught Place, New Delhi",Double Room with Balcony,1 extra-large double bed,+₹ 562 taxes and charges,3,1 night, 2 adults,"₹ 6,500",True,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms, Breakfast"
FabHotel Qotel Chattarpur,"₹ 1,317",6.5,Review score,81,"Chattarpur, New Delhi",Deluxe Room,1 large double bed,+₹ 158 taxes and charges,3,1 night, 2 adults,"₹ 2,863",False,True,2023-08-01,2023-08-02,"Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
Itsy By Treebo - Arien International,"₹ 4,927",7.0,Good,90,"South Delhi, New Delhi",Standard Double Room,1 extra-large double bed,+₹ 591 taxes and charges,3,1 night, 2 adults,"₹ 10,484",True,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
OYO Hotel Green Star,"₹ 1,257",7.2,Good,5,Sohna,Classic Triple Room,1 large double bed,+₹ 183 taxes and charges,3,1 night, 2 adults,"₹ 2,566",False,True,2023-08-01,2023-08-02,
The Prime Balaji Deluxe @ New Delhi Railway Station,"₹ 3,713",7.8,Good,313,"Paharganj, New Delhi",Deluxe Double or Twin Room,1 double bed,+₹ 445 taxes and charges,3,1 night, 2 adults,"₹ 4,950",True,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Fabulous breakfast"
Hotel Baljeet Lodge,"₹ 3,000",7.0,Good,128,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 extra-large double bed,+₹ 360 taxes and charges,3,1 night, 2 adults,"₹ 3,000",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
