hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Cottage Yes Please Near New Delhi Railway Station,"₹ 3,599",7.2,Good,437,"Paharganj, New Delhi",Deluxe Double Room,1 single bed,+₹ 432 taxes and charges,4,1 night, 2 adults,"₹ 3,599",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms"
R C Palace Hotel,"₹ 10,000",7.2,Good,21,Bhiwadi,Executive Suite,1 extra-large double bed,"+₹ 1,800 taxes and charges",3,1 night, 2 adults,"₹ 10,000",True,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, Good breakfast"
Hotel Nitya Maharani 'NEW DELHI',"₹ 2,867",8.1,Very good,"1,747","Paharganj, New Delhi",Deluxe Double Room,Multiple bed types,+₹ 344 taxes and charges,3,1 night, 2 adults,"₹ 4,096",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Fabulous breakfast"
OYO 93225 Hotel Perfect 10,"₹ 1,527",NA,NA,NA,Bulandshahr,Classic Triple Room,1 large double bed,+₹ 215 taxes and charges,3,1 night, 2 adults,"₹ 2,350",False,True,2023-11-07,2023-11-08,
FabHotel Well Stay,"₹ 2,972",8.3,Very good,3,Noida,Deluxe Room,1 double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,972",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free WiFi, Breakfast"
DoubleTree by Hilton Gurugram Baani Square,"₹ 16,199",7.5,Good,876,Gurgaon,Superior King Room,1 extra-large double bed,"+₹ 2,916 taxes and charges",5,1 night, 2 adults,"₹ 16,199",False,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Radisson Noida,"₹ 13,770",7.5,Good,654,Noida,Deluxe Double or Twin Room with 15% discount on Food and Soft beverage,Beds: 1 double or 2 singles,"+₹ 2,479 taxes and charges",5,1 night, 2 adults,"₹ 13,770",False,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Krishna - By RCG Hotels,"₹ 4,860",7.9,Good,637,"Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 583 taxes and charges,3,1 night, 2 adults,"₹ 4,860",False,False,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Good breakfast"
Radisson Hotel Sector 29 Gurugram,"₹ 14,580",7.4,Good,20,"Sector 40 - 44, Gurgaon",Standard Room with 20% discount on food & soft beverages,Multiple bed types,"+₹ 2,624 taxes and charges",5,1 night, 2 adults,"₹ 14,580",False,False,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free parking, Facilities for disabled guests, Free WiFi, Bar, Breakfast"
FabHotel Cabana,"₹ 6,681",7.0,Good,215,"Greater Kailash 1, New Delhi",Deluxe Double Room,1 double bed,+₹ 802 taxes and charges,3,1 night, 2 adults,"₹ 6,681",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
"Country Inn & Suites by Radisson, Gurugram Sector 12","₹ 12,999",7.3,Good,"1,598","Sector 14, Gurgaon",Standard Room with 15% off on food & soft beverages,2 single beds,"+₹ 2,340 taxes and charges",4,1 night, 2 adults,"₹ 12,999",True,True,2023-11-07,2023-11-08,"Airport shuttle, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
B Nineteen,"₹ 7,574",8.9,Fabulous,214,"South Delhi, New Delhi",King Room with Balcony,1 extra-large double bed,"+₹ 1,363 taxes and charges",0,1 night, 2 adults,"₹ 7,574",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Terrace, Garden, Laundry, Very good breakfast"
