hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Milan - Near Delhi Airport,"₹ 1,650",7.2,Good,27,"Mahipalpur, New Delhi",Deluxe Double Room,"2 beds (1 extra-large double, 1 futon)",+₹ 198 taxes and charges,3,1 night, 2 adults,"₹ 3,000",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Breakfast"
Flagship Hotel Blue Breeze,"₹ 1,527",4.0,Review score,3,Ballabgarh,Classic Triple Room,1 large double bed,+₹ 215 taxes and charges,3,1 night, 2 adults,"₹ 2,350",False,True,2024-01-02,2024-01-03,Room service
Kutani Bagh - Best Hotel in Sariska National Park,"₹ 9,000",8.4,Very good,7,Tehla,Double Room with Garden View,1 large double bed,"+₹ 1,620 taxes and charges",4,1 night, 2 adults,"₹ 9,000",True,True,2024-01-02,2024-01-03,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Airport shuttle, Room service, Family rooms, Tea/coffee maker in all rooms, Breakfast"
"Mosaic Hotel, Noida","₹ 11,969",7.1,Good,90,Noida,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 2,154 taxes and charges",4,1 night, 2 adults,"₹ 11,969",False,True,2024-01-02,2024-01-03,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free parking, Facilities for disabled guests, Bar, Very good breakfast"
Hotel Arch Plaza - Near Delhi Airport,"₹ 6,299",7.4,Good,79,"South West, New Delhi",Deluxe Double or Twin Room,"3 beds (2 singles, 1 extra-large double)",+₹ 756 taxes and charges,4,1 night, 2 adults,"₹ 6,299",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Superb breakfast"
FabExpress F9 Ghaziabad,"₹ 2,103",7.8,Good,17,Ghaziabad,Deluxe Room,1 large double bed,+₹ 252 taxes and charges,3,1 night, 2 adults,"₹ 2,103",False,True,2024-01-02,2024-01-03,"Room service, Free WiFi"
AMAN RESIDENCY,₹ 893,6.5,Review score,47,"Rohini, New Delhi",Deluxe Family Room,1 extra-large double bed,+₹ 107 taxes and charges,0,1 night, 2 adults,"₹ 1,785",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Garden, Daily housekeeping, Air conditioning"
The Aroma Residency Gurgaon Sector 47 Corporate Family friendly,"₹ 3,217",7.7,Good,56,"Sector 40 - 44, Gurgaon",Double or Twin Room,1 large double bed,+₹ 386 taxes and charges,4,1 night, 2 adults,"₹ 3,217",True,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Breakfast"
"Airport Hotel Grand, New Delhi","₹ 1,800",7.2,Good,273,"Mahipalpur, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 216 taxes and charges,4,1 night, 2 adults,"₹ 4,500",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Free parking, Tea/coffee maker in all rooms, Good breakfast"
OYO Townhouse 819 Peeragarhi Chowk,"₹ 2,204",4.6,Review score,18,"Pashim Vihar, New Delhi",Classic Triple Room,1 large double bed,+₹ 297 taxes and charges,3,1 night, 2 adults,"₹ 3,391",False,False,2024-01-02,2024-01-03,"Airport shuttle, Room service, Fitness centre, Facilities for disabled guests, Bar, Laundry, Daily housekeeping, Air conditioning"
"AB HOTEL - Hotel Amar ITL - STREET NO 7 - CHUNA MANDI, PAHAR GANJ","₹ 1,202",7.1,Good,114,"Paharganj, New Delhi",Standard Double Room,1 double bed,+₹ 144 taxes and charges,3,1 night, 2 adults,"₹ 1,849",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
A1 Sunny Feast,"₹ 9,000",8.8,Fabulous,4,Greater Noida,Deluxe Room,1 double bed,"+₹ 1,620 taxes and charges",4,1 night, 2 adults,"₹ 9,000",True,True,2024-01-02,2024-01-03,"Room service, Restaurant, Family rooms, Free parking, Tea/coffee maker in all rooms, Breakfast"
India International by Glance deluxe New Delhi,"₹ 1,399",7.3,Good,15,"Paharganj, New Delhi",Deluxe Double or Twin Room,1 single bed,+₹ 168 taxes and charges,3,1 night, 2 adults,"₹ 1,999",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, 24-hour front desk, Terrace"
