hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
"Crowne Plaza New Delhi Rohini, an IHG Hotel","₹ 9,949",8.1,Very good,844,"Rohini, New Delhi",King Room - Non-Smoking,1 large double bed,"+₹ 1,791 taxes and charges",5,1 night, 2 adults,"₹ 9,949",False,False,2023-12-12,2023-12-13,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Palace Heights,"₹ 7,499",8.0,Very good,232,"Connaught Place, New Delhi",Standard Double Room,Multiple bed types,+₹ 900 taxes and charges,3,1 night, 2 adults,"₹ 7,499",True,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Free parking, Free WiFi, 24-hour front desk, Bar, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms, Breakfast"
LetsBunk Poshtel & Suites,"₹ 4,320",7.5,Good,763,"Hauz Khas, New Delhi",Queen Room,1 double bed,+₹ 518 taxes and charges,4,1 night, 2 adults,"₹ 4,320",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Parking, Free WiFi, 24-hour front desk, Bar, Breakfast"
"ITC Maurya, a Luxury Collection Hotel, New Delhi","₹ 26,000",8.0,Very good,"1,292","Chanakyapuri, New Delhi",Executive Queen Room - Club Level,1 large double bed,"+₹ 4,680 taxes and charges",5,1 night, 2 adults,"₹ 26,000",True,True,2023-12-12,2023-12-13,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Free parking, Bar, Very good breakfast"
SPOT ON Agrah Hotel,"₹ 1,561",NA,NA,NA,Bulandshahr,Classic Triple Room,1 large double bed,+₹ 211 taxes and charges,3,1 night, 2 adults,"₹ 2,402",False,True,2023-12-12,2023-12-13,Free WiFi
Iora Guest House,"₹ 1,300",9.2,Superb,122,Bharatpur,Double or Twin Room with Bathroom,1 double bed,+₹ 156 taxes and charges,3,1 night, 2 adults,"₹ 1,300",False,True,2023-12-12,2023-12-13,"Airport shuttle, Restaurant, Non-smoking rooms, Room service, Free parking, Facilities for disabled guests, Free WiFi, Good breakfast"
"3 BHK Floor in Dwarka, New Delhi, Near Airport.","₹ 7,000",NA,NA,NA,"Dwarka, New Delhi",Three-Bedroom Apartment,"6 beds (3 doubles, 3 sofa beds)",+₹ 840 taxes and charges,0,1 night, 2 adults,"₹ 7,000",False,True,2023-12-12,2023-12-13,"Free parking, Free WiFi, Terrace, Air conditioning"
Joey's Hostel,"₹ 5,129",8.3,Very good,"1,107","East Delhi, New Delhi",Standard Double Room with Shared Bathroom,1 extra-large double bed,+₹ 615 taxes and charges,0,1 night, 2 adults,"₹ 5,129",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Parking on site, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
Flagship Hotel Yellow Town,"₹ 1,527",NA,NA,NA,Bulandshahr,Classic Triple Room,1 large double bed,+₹ 215 taxes and charges,3,1 night, 2 adults,"₹ 2,350",False,True,2023-12-12,2023-12-13,Room service
ROYAL LALIT Grand Hotel,"₹ 2,699",8.5,Very good,24,Karnal,Deluxe Double Room,1 double bed,+₹ 324 taxes and charges,0,1 night, 2 adults,"₹ 2,699",True,True,2023-12-12,2023-12-13,"Non-smoking rooms, Free parking, Room service, Family rooms, Free WiFi, Tea/coffee maker in all rooms"
Hotel Pearl - Mahipalpur Delhi Airport Fully Vaccinated Staff,"₹ 1,848",8.3,Very good,471,"Mahipalpur, New Delhi",Small Double Room,1 double bed,+₹ 222 taxes and charges,3,1 night, 2 adults,"₹ 6,160",False,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Good breakfast"
Hotel Natraj Yes Please,"₹ 4,136",7.7,Good,399,"Paharganj, New Delhi",[Sanitized] Superior Double Room,1 extra-large double bed,+₹ 496 taxes and charges,3,1 night, 2 adults,"₹ 4,136",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping"
SaltStayz Golf Course Road,"₹ 2,525",8.4,Very good,165,"Golf Course Road, Gurgaon",Deluxe Double Room,1 double bed,+₹ 303 taxes and charges,4,1 night, 2 adults,"₹ 2,525",True,True,2023-12-12,2023-12-13,"Room service, Free parking, Free WiFi, 24-hour front desk, Fabulous breakfast"
Hotel M2M Sonipat,"₹ 2,016",1.0,Review score,1,Sonīpat,Deluxe King Room,1 extra-large double bed,+₹ 242 taxes and charges,5,1 night, 2 adults,"₹ 2,016",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, Breakfast"
FabExpress The Paradise,"₹ 3,610",7.3,Good,15,"South Delhi, New Delhi",Deluxe Room,1 double bed,+₹ 433 taxes and charges,3,1 night, 2 adults,"₹ 3,610",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Family rooms, 24-hour front desk, Air conditioning, Breakfast"
The Angel Hotel & Suites,"₹ 3,500",8.0,Very good,99,Gurgaon,Superior Double Room,1 extra-large double bed,+₹ 420 taxes and charges,3,1 night, 2 adults,"₹ 3,500",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
Green Serene Abode,"₹ 2,500",9.4,Superb,19,Meerut,Deluxe Double Room with Extra Bed,"2 beds (1 large double, 1 futon)",+₹ 550 taxes and charges,0,1 night, 2 adults,"₹ 2,500",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Breakfast"
Flagship Hotel Signature Village,"₹ 1,527",1.0,Review score,3,New Delhi,Standard Double Room,1 large double bed,+₹ 207 taxes and charges,3,1 night, 2 adults,"₹ 2,350",False,True,2023-12-12,2023-12-13,"Daily housekeeping, Air conditioning"
Hotel City Empire,"₹ 2,700",8.0,Very good,"1,695","Paharganj, New Delhi",Superior Double/Twin,Beds: 1 double or 2 singles,+₹ 324 taxes and charges,3,1 night, 2 adults,"₹ 3,000",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Good breakfast"
NUO By juSTa,"₹ 5,662",7.2,Good,186,"Kailash Colony, New Delhi",Standard King Room,1 extra-large double bed,+₹ 679 taxes and charges,4,1 night, 2 adults,"₹ 7,549",False,True,2023-12-12,2023-12-13,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, 24-hour front desk, Air conditioning, Breakfast"
SPOT ON Spotlight Inn Hotel And Restaurant,"₹ 2,350",NA,NA,NA,Muzaffarnagar,Classic Triple Room,1 large double bed,+₹ 314 taxes and charges,3,1 night, 2 adults,"₹ 2,350",False,True,2023-12-12,2023-12-13,Room service
Hotel Omega - Gurgaon Central,"₹ 4,049",7.8,Good,112,"Sector 40 - 44, Gurgaon",Business Double Room with Gym Access,Multiple bed types,+₹ 486 taxes and charges,4,1 night, 2 adults,"₹ 4,049",False,False,2023-12-12,2023-12-13,NA
Hotel King plaza Near IGI Airport Delhi,₹ 936,7.5,Good,459,"South West, New Delhi",Deluxe King Room,1 extra-large double bed,+₹ 112 taxes and charges,3,1 night, 2 adults,"₹ 2,339",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Fabulous breakfast"
The Hosteller Delhi,"₹ 10,115",8.4,Very good,"1,135","New Friends Colony, New Delhi","Deluxe Double Room (Double Room with Attached Bathroom, 02 Hrs Early Check-in {Subject to availability}, High Speed WiFi and 10% off on F&B)",1 double bed,"+₹ 1,821 taxes and charges",3,1 night, 2 adults,"₹ 10,115",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Restaurant, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
FabHotel Aashraye,"₹ 4,813",7.6,Good,339,"South Delhi, New Delhi",(Sanitised) Deluxe Room,1 extra-large double bed,+₹ 578 taxes and charges,3,1 night, 2 adults,"₹ 4,813",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Breakfast"
Palasa Hotel,"₹ 5,499",9.1,Superb,13,Muzaffarnagar,King Room,1 double bed,+₹ 660 taxes and charges,0,1 night, 2 adults,"₹ 5,499",False,True,2023-12-12,2023-12-13,"Free parking, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Tea/coffee maker in all rooms"
Park Plaza Gurgaon,"₹ 14,400",7.4,Good,"1,347","City Center - Sector 29, Gurgaon","Plaza Room , 50% Discount on Lunch and Dinner Buffet only at New Town Cafe",Beds: 1 double or 2 singles,"+₹ 2,592 taxes and charges",5,1 night, 2 adults,"₹ 14,400",False,True,2023-12-12,2023-12-13,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Palm Greens,"₹ 3,690",7.0,Good,26,"Saket, New Delhi",Standard Room,1 extra-large double bed,+₹ 443 taxes and charges,3,1 night, 2 adults,"₹ 4,100",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
bloomrooms @ Janpath,"₹ 9,000",7.9,Good,870,"Connaught Place, New Delhi",Standard King Room,1 extra-large double bed,"+₹ 1,620 taxes and charges",4,1 night, 2 adults,"₹ 9,000",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
Hotel Cottage Yes Please Near New Delhi Railway Station,"₹ 3,599",7.2,Good,437,"Paharganj, New Delhi",Deluxe Twin Room,2 single beds,+₹ 432 taxes and charges,4,1 night, 2 adults,"₹ 3,599",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms"
R C Palace Hotel,"₹ 10,000",7.2,Good,21,Bhiwadi,Executive Suite,1 extra-large double bed,"+₹ 1,800 taxes and charges",3,1 night, 2 adults,"₹ 10,000",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, Good breakfast"
Radisson Blu MBD Hotel Noida,"₹ 25,000",8.4,Very good,790,Noida,Deluxe Double or Twin Room,1 double bed,"+₹ 4,500 taxes and charges",5,1 night, 2 adults,"₹ 25,000",False,True,2023-12-12,2023-12-13,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Nitya Maharani 'NEW DELHI',"₹ 2,867",8.1,Very good,"1,747","Paharganj, New Delhi",Deluxe Double Room,Multiple bed types,+₹ 344 taxes and charges,3,1 night, 2 adults,"₹ 4,096",False,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Fabulous breakfast"
OYO 93225 Hotel Perfect 10,"₹ 1,527",NA,NA,NA,Bulandshahr,Classic Triple Room,1 large double bed,+₹ 215 taxes and charges,3,1 night, 2 adults,"₹ 2,350",False,True,2023-12-12,2023-12-13,
FabHotel Well Stay,"₹ 2,972",8.3,Very good,3,Noida,Deluxe Room,1 double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,972",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Family rooms, Free WiFi, Breakfast"
Hotel Bay Laurel Retreat,"₹ 3,325",7.4,Good,16,Faridabad,Deluxe Room,1 large double bed,+₹ 399 taxes and charges,4,1 night, 2 adults,"₹ 3,500",False,True,2023-12-12,2023-12-13,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Breakfast"
FabHotel Marble Arch,"₹ 4,671",8.1,Very good,983,"Karol bagh, New Delhi",Deluxe Room,1 double bed,+₹ 560 taxes and charges,3,1 night, 2 adults,"₹ 4,671",False,True,2023-12-12,2023-12-13,"Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
DoubleTree by Hilton Gurugram Baani Square,"₹ 16,299",7.5,Good,876,Gurgaon,Superior King Room,1 extra-large double bed,"+₹ 2,934 taxes and charges",5,1 night, 2 adults,"₹ 16,299",False,True,2023-12-12,2023-12-13,"Outdoor swimming pool, Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Minimalist Poshtel & Suites,"₹ 2,700",7.5,Good,802,"Hauz Khas, New Delhi",Twin Room with Balcony,1 bunk bed,+₹ 324 taxes and charges,0,1 night, 2 adults,"₹ 2,700",True,True,2023-12-12,2023-12-13,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Parking, Free WiFi, 24-hour front desk, Bar, Good breakfast"
